tau,f1,tp,fp,fn
0.0002872197970062407,0.23529411764705882,28,182,0
0.00028776784512186146,0.23628691983122363,28,181,0
0.00029933538104310415,0.23728813559322035,28,180,0
0.00030147628192238475,0.23829787234042552,28,179,0
0.00030173206910744685,0.23931623931623933,28,178,0
0.00030176854285294353,0.24034334763948498,28,177,0
0.0003018496387086507,0.24137931034482762,28,176,0
0.0003021418996392095,0.2424242424242424,28,175,0
0.0003048486057470699,0.2434782608695652,28,174,0
0.00031581206670224155,0.2445414847161572,28,173,0
0.00032530716443264615,0.24561403508771928,28,172,0
0.00033273224860979255,0.24669603524229075,28,171,0
0.0003492743996769871,0.24778761061946902,28,170,0
0.0003497679315399376,0.2488888888888889,28,169,0
0.00035788948131419517,0.25,28,168,0
0.00036030821438416764,0.25112107623318386,28,167,0
0.0003606804690473655,0.25225225225225223,28,166,0
0.0003710273649566511,0.25339366515837103,28,165,0
0.00037110846081235825,0.25806451612903225,28,161,0
0.00037140072174291703,0.26046511627906976,28,159,0
0.00037861281874812606,0.2616822429906542,28,158,0
0.000379269910460267,0.26291079812206575,28,157,0
0.00037990941067111446,0.2641509433962264,28,156,0
0.00039395136178535024,0.26540284360189575,28,155,0
0.00039519805020656474,0.2666666666666667,28,154,0
0.00039940139695182196,0.26794258373205737,28,153,0
0.0004099524916523567,0.2692307692307693,28,152,0
0.000438282697680429,0.27053140096618356,28,151,0
0.00044795861020330285,0.27184466019417475,28,150,0
0.0004604239626393717,0.2731707317073171,28,149,0
0.0004694193145524081,0.2745098039215686,28,148,0
0.0004696656459119959,0.27860696517412936,28,145,0
0.0004696751017374701,0.28,28,144,0
0.0004697115754829669,0.2814070351758794,28,143,0
0.00047008493226923285,0.2828282828282828,28,142,0
0.0004864696658478241,0.2857142857142857,28,140,0
0.0004867619267783829,0.288659793814433,28,138,0
0.00048713528356464884,0.2901554404145078,28,137,0
0.00048904336357414,0.2916666666666667,28,136,0
0.0004891629058155051,0.29319371727748694,28,135,0
0.000489455166746064,0.2947368421052632,28,134,0
0.0004898285235323299,0.29629629629629634,28,133,0
0.0004990255584901934,0.2978723404255319,28,132,0
0.0005018107510925814,0.2994652406417112,28,131,0
0.0005078808530139467,0.3010752688172043,28,130,0
0.0005080460885178272,0.3027027027027027,28,129,0
0.0005084289011295676,0.30434782608695654,28,128,0
0.0005361400606078665,0.3060109289617486,28,127,0
0.0005673574430634692,0.3076923076923077,28,126,0
0.000570555735476894,0.30939226519337015,28,125,0
0.0005772971663442266,0.3111111111111111,28,124,0
0.0005841339146762898,0.3128491620111732,28,123,0
0.0005887522622675797,0.3146067415730337,28,122,0
0.0006692347364365276,0.3163841807909605,28,121,0
0.0007073281276784824,0.3181818181818182,28,120,0
0.0007095373332444977,0.32,28,119,0
0.0007969023184877575,0.3218390804597701,28,118,0
0.0007969216685510056,0.3236994219653179,28,117,0
0.0008216648309202242,0.32558139534883723,28,116,0
0.0008230442872644593,0.32748538011695905,28,115,0
0.000837811726523586,0.32941176470588235,28,114,0
0.0008660636889027816,0.3313609467455621,28,113,0
0.0008877801804369487,0.33333333333333337,28,112,0
0.0009795809321095702,0.33532934131736525,28,111,0
0.0009910597467872404,0.3373493975903615,28,110,0
0.001008098518725899,0.34146341463414637,28,108,0
0.0010081366401990088,0.3435582822085889,28,107,0
