tau,f1,tp,fp,fn
5.871249138657529e-05,0.0959843290891283,49,923,0
5.878367746050237e-05,0.09607843137254903,49,922,0
5.9932043979989004e-05,0.09617271835132482,49,921,0
6.038830750511345e-05,0.09636184857423795,49,919,0
6.0888841548774375e-05,0.09645669291338582,49,918,0
6.0997115348795435e-05,0.09683794466403163,49,914,0
6.119463146230669e-05,0.09693372898120674,49,913,0
6.169971389464017e-05,0.09702970297029705,49,912,0
6.170410324777976e-05,0.09712586719524281,49,911,0
6.181237704780082e-05,0.09731876861966236,49,909,0
6.207350709012076e-05,0.09741550695825049,49,908,0
6.229808619364474e-05,0.09780439121756487,49,904,0
6.240635999366579e-05,0.09790209790209789,49,903,0
6.260387610717704e-05,0.098,49,902,0
6.268713384940257e-05,0.09809809809809811,49,901,0
6.273276241445859e-05,0.09859154929577466,49,896,0
6.274033118669851e-05,0.09869083585095671,49,895,0
6.283893822339502e-05,0.09929078014184396,49,889,0
6.310895853951052e-05,0.09939148073022312,49,888,0
6.311334789265012e-05,0.09959349593495934,49,886,0
6.334343163223044e-05,0.09969481180061038,49,885,0
6.360426437705911e-05,0.09979633401221996,49,884,0
6.36541999224004e-05,0.1,49,882,0
6.43699882121578e-05,0.10010214504596526,49,881,0
6.437724772887776e-05,0.10040983606557376,49,878,0
6.444843380280485e-05,0.10071942446043167,49,875,0
6.448552152889882e-05,0.10123966942148759,49,870,0
6.455670760282591e-05,0.10165975103734441,49,866,0
6.475267627710079e-05,0.10208333333333335,49,862,0
6.49423229480024e-05,0.10218978102189781,49,861,0
6.501350902192946e-05,0.1022964509394572,49,860,0
6.518525450683e-05,0.10251046025104604,49,858,0
6.553584534412219e-05,0.10304942166140905,49,853,0
6.560703141804926e-05,0.10315789473684212,49,852,0
6.575758464700778e-05,0.10326659641728134,49,851,0
6.582877072093483e-05,0.10337552742616034,49,850,0
6.599612685269582e-05,0.10348468848996834,49,849,0
6.610563527782095e-05,0.10359408033826639,49,848,0
6.621181108675738e-05,0.1037037037037037,49,847,0
6.683183781233383e-05,0.10414452709883103,49,843,0
6.690302388626091e-05,0.10425531914893615,49,842,0
6.706689992855182e-05,0.10436634717784878,49,841,0
6.735928741138537e-05,0.10447761194029852,49,840,0
6.788216162755719e-05,0.10458911419423693,49,839,0
6.809345650847917e-05,0.1047008547008547,49,838,0
6.938813662278084e-05,0.10515021459227468,49,834,0
6.993172347355936e-05,0.10526315789473684,49,833,0
7.038852489266292e-05,0.1053763440860215,49,832,0
7.043977279191417e-05,0.1057173678532902,49,829,0
7.123269431840866e-05,0.10583153347732181,49,828,0
7.134096811842972e-05,0.10617551462621884,49,825,0
7.179776953753326e-05,0.10663764961915125,49,821,0
7.227803975699437e-05,0.10687022900763359,49,819,0
7.261303123653864e-05,0.10698689956331879,49,818,0
7.298449559331284e-05,0.10710382513661201,49,817,0
7.368728440186472e-05,0.1074561403508772,49,814,0
7.468493785071856e-05,0.1075740944017563,49,813,0
7.85462308547144e-05,0.10792951541850221,49,810,0
7.995547549958475e-05,0.10804851157662626,49,809,0
8.000867283688069e-05,0.10816777041942605,49,808,0
